drug_name,g2032r_score,wt_score,met_score,composite_score,mw,tpsa,clogp,cns_mpo,cns_penetrant,target,is_known_ros1_tki,is_candidate,source
Amoxapine,-8.71,,,-9.21,313.8,36.9,3.43,5.19,True,"Amino acid transporter,GlyT",False,True,selleckchem_L1300
Nafamostat mesilate (FUT-175),-9.2,,,-9.2,347.4,138.1,2.65,3.0,False,"Apoptosis related,COVID-19,SARS-CoV,Serine Protease",False,True,selleckchem_L1300
GHRP-2,-9.19,,,-9.19,746.9,227.3,2.25,1.5,False,,False,True,selleckchem_L1300
Pamiparib (BGB-290),-8.69,,,-9.19,298.3,60.5,2.08,5.25,True,PARP,False,True,selleckchem_L1300
Afoxolaner,-9.18,,,-9.18,625.9,79.8,6.5,2.25,False,GABA Receptor,False,True,selleckchem_L1300
Abiraterone Acetate (CB7630),-8.67,,,-9.17,391.6,39.2,5.97,4.1,True,"Androgen Receptor,P450 (e.g. CYP17)",False,True,selleckchem_L1300
Revefenacin,-9.17,,,-9.17,597.8,108.2,4.84,1.46,False,AChR,False,True,selleckchem_L1300
Lapatinib ditosylate monohydrate,-9.16,,,-9.16,581.1,106.3,6.14,1.43,False,HER2,False,True,selleckchem_L1300
Brequinar (DUP785),-8.66,,,-9.16,375.4,50.2,5.85,4.09,True,Dehydrogenase,False,False,selleckchem_L1300
Terconazole,-9.16,,,-9.16,532.5,64.9,4.46,3.4,False,Fungal,False,True,selleckchem_L1300
Dydrogesterone,-8.65,,,-9.15,312.5,34.1,4.5,4.44,True,Estrogen/progestogen Receptor,False,False,selleckchem_L1300
Madecassic acid,-9.15,,,-9.15,504.7,118.2,4.0,0.84,False,,False,True,selleckchem_L1300
Estradiol,-8.65,,,-9.15,272.4,40.5,3.61,4.79,True,"Estrogen/progestogen Receptor,Interleukins",False,False,selleckchem_L1300
Itraconazole?(R 51211),-9.13,,,-9.13,705.6,104.7,5.58,2.26,False,"Autophagy,Fungal,Hedgehog/Smoothened,P450 (e.g. CYP17)",False,True,selleckchem_L1300
Mitapivat,-8.62,,,-9.12,450.6,82.6,3.2,4.63,False,PKM,False,False,selleckchem_L1300
Dehydrocholic acid,-8.61,,,-9.11,402.5,88.5,4.07,4.49,False,Others,False,False,selleckchem_L1300
Ursolic Acid,-9.1,,,-9.1,456.7,57.5,7.09,2.71,False,Others,False,True,selleckchem_L1300
Ipragliflozin (ASP1941),-8.59,,,-9.09,404.5,90.2,2.15,4.02,False,SGLT,False,False,selleckchem_L1300
Aloin,-9.09,,,-9.09,418.4,167.9,-0.89,2.37,False,Tyrosinase,False,True,selleckchem_L1300
Raloxifene HCl,-9.08,,,-9.08,473.6,70.0,6.08,2.53,False,Estrogen/progestogen Receptor,False,True,selleckchem_L1300
Atovaquone,-8.57,,,-9.07,366.8,54.4,5.51,4.18,True,"COVID-19,Fungal,Parasite",False,False,selleckchem_L1300
Ketanserin,-8.56,,,-9.06,395.4,75.2,2.42,5.37,True,5-HT Receptor,False,False,selleckchem_L1300
CB-5339,-9.06,,,-9.06,412.5,96.8,3.05,3.81,False,p97,False,True,selleckchem_L1300
Sanguinarine chloride,-8.56,,,-9.06,332.3,40.8,3.43,5.68,True,"phosphatase,ROS",False,False,selleckchem_L8000
Delamanid,-9.06,,,-9.06,534.5,101.1,4.97,2.47,False,Bacterial,False,True,selleckchem_L1300
Sultamicillin Tosylate,-9.05,,,-9.05,594.7,182.5,-0.59,2.25,False,Bacterial,False,True,selleckchem_L1300
Abemaciclib mesylate (LY2835219),-9.05,,,-9.05,506.6,75.0,4.94,2.8,False,CDK,False,True,selleckchem_L1300
Pexidartinib (PLX3397),-9.05,,,-9.05,417.8,66.5,5.23,3.13,True,"Apoptosis related,c-Kit,CSF-1R,FLT3",False,True,selleckchem_L1300
Ribociclib hydrochloride,-8.55,,,-9.05,434.5,91.2,2.8,4.39,False,CDK,False,False,selleckchem_L1300
S9024 AKBA.cdx,-9.05,,,-9.05,512.7,80.7,6.84,2.75,False,Lipoxygenase,False,True,selleckchem_L1300
Rutaecarpine,-8.54,,,-9.04,287.3,50.7,3.1,5.67,True,COX,False,False,selleckchem_L1300
Quinestrol,-9.03,,,-9.03,364.5,29.5,5.23,3.41,True,Estrogen/progestogen Receptor,False,True,selleckchem_L1300
Efonidipine,-9.03,,,-9.03,631.7,120.2,7.3,1.25,False,Calcium Channel,False,True,selleckchem_L1300
Ribociclib (LEE011),-8.53,,,-9.03,434.5,91.2,2.8,4.39,False,CDK,False,False,selleckchem_L1300
Lovastatin (MK-803),-8.53,,,-9.03,404.5,72.8,4.2,4.38,True,"Autophagy,HMG-CoA Reductase",False,False,selleckchem_L1300
Zanubrutinib (BGB-3111),-9.03,,,-9.03,471.6,102.5,4.22,2.51,False,BTK,False,True,selleckchem_L1300
Midostaurin (PKC412),-9.02,,,-9.02,570.6,77.7,5.91,2.75,False,PKC,False,True,selleckchem_L1300
Nebivolol,-8.52,,,-9.02,405.4,71.0,2.36,4.26,False,Adrenergic Receptor,False,False,selleckchem_L1300
Enzalutamide (MDV3100),-9.02,,,-9.02,464.4,76.4,3.99,3.89,False,"Androgen Receptor,Autophagy",False,True,selleckchem_L1300
Etrasimod(APD334),-9.02,,,-9.02,457.5,62.3,6.93,2.71,False,S1P Receptor,False,True,selleckchem_L1300
Hematein,-9.02,,,-9.02,300.3,107.2,1.08,3.64,False,"Akt,Casein Kinase",False,True,selleckchem_L1300
Betamethasone,-8.51,,,-9.01,392.5,94.8,1.9,4.16,False,Glucocorticoid Receptor,False,False,selleckchem_L1300
Emodin,-8.51,,,-9.01,270.2,94.8,1.89,4.51,False,Dehydrogenase,False,False,selleckchem_L1300
Cyproheptadine HCl,-9.01,,,-9.01,287.4,3.2,4.7,3.23,True,Histamine Receptor,False,True,selleckchem_L1300
Enasidenib (AG-221),-9.01,,,-9.01,473.4,108.7,4.29,1.63,False,Dehydrogenase,False,True,selleckchem_L1300
Dicoumarol,-8.5,,,-9.0,336.3,100.9,2.9,4.71,False,PDHK,False,False,selleckchem_L1300
Exatecan Mesylate,-9.0,,,-9.0,435.5,107.4,2.47,3.57,False,Topoisomerase,False,True,selleckchem_L1300
Meprednisone,-8.49,,,-8.99,372.5,91.7,2.01,5.03,False,Glucocorticoid Receptor,False,False,selleckchem_L1300
Regorafenib Hydrochloride,-8.99,,,-8.99,482.8,92.4,5.69,1.82,False,"c-Kit,c-RET,PDGFR,Raf,VEGFR",False,True,selleckchem_L1300
Oxytetracycline Dihydrate,-8.99,,,-8.99,460.4,201.8,-1.24,1.92,False,"Antibiotics,Bacterial",False,True,selleckchem_L1300
Halcinonide,-8.49,,,-8.99,455.0,72.8,3.89,4.07,False,Immunology & Inflammation related,False,False,selleckchem_L1300
Finasteride,-8.48,,,-8.98,372.6,58.2,3.81,4.5,True,5-alpha Reductase,False,False,selleckchem_L1300
Medrysone,-8.48,,,-8.98,344.5,54.4,3.94,5.04,True,Others,False,False,selleckchem_L1300
